"Dấu thời gian","Câu 1:	Hiện tại, Ông/bà đang làm việc tại Thành phố Hồ Chí Minh?","Câu 2:	Những yếu tố tạo động lực làm việc cho Ông/bà trong tình hình dịch bệnh diễn biến phức tạp (có thể chọn nhiều yếu tố):","Câu 3:	Yếu tố nào làm Ông/bà  gắn bó với tổ chức đến tận bây giờ? (có thể chọn nhiều yếu tố)","Câu 4:	Môi trường làm việc của Ông/bà hiện tại rất thoải mái","Câu 5:	Mức độ căng thẳng trong công việc của Ông/bà  là vừa phải:","Câu 6:	Công ty có phương tiện và thiết bị cần thiết được trang bị đầy đủ để thực hiện công việc một cách tốt nhất","Câu 7:	Ông/bà  nghĩ sao về việc doanh nghiệp hỗ trợ chỗ ở, tặng các vật phẩm cần thiết cho nhân viên khi dịch bệnh bùng phát mạnh?","Câu 8:	Khi dịch bệnh bùng phát doanh nghiệp triển khai hình thức tiêm vaccine miễn phí cho toàn bộ công nhân viên để đảm bảo an toàn khi làm việc. Ông/bà  nghĩ sao về vấn đề này?","Câu 9:	Công ty hỗ trợ lương thực, thực phẩm, nhu yếu phẩm,nơi ở. Ông/bà nghĩ sao về vấn đề này?","Câu 10:	Công ty có chính sách trả lương tương xứng với kết quả làm việc của mỗi cá nhân","Câu 11:	Công ty có chính sách đào tạo và phát triển nghề nghiệp","Câu 12:	Công ty có chính sách hỗ trợ cho Ông/bà và gia đình Ông/bà","Câu 13:	Công ty hỗ trợ một phần về vật chất nếu Ông/bà dương tính với covid-19","Câu 14:	Công ty có khả năng sàng lọc, theo dõi và cách ly nhân viên bị nhiễm bệnh để ngăn chặn sự lây lan của virus trong giới hạn của nơi làm việc","Câu 15:	Cấp trên thường xuyên hỗ trợ,động viên tinh thần Ông/bà trong công việc","Câu 16:	Ông/bà thường dễ dàng đề đạt, đóng góp ý kiến của mình lên ban lãnh đạo","Câu 17:	Đồng nghiệp luôn chia sẽ kinh nghiệm làm việc :","Câu 18:	Khi nghỉ phép, nghỉ ốm đau, nghỉ chờ việc Ông/bà vẫn nhận được tiền lương","Câu 19:	Ông/bà nhận được tầm quan trọng của mình trong tổ chức","Câu 20:	Được khen thưởng trước tập thể khi đạt được thành tích tốt trong công việc:","Câu 21:	Ông/bà có cho rằng công ty cần bổ sung thêm một số chính sách để tạo động lực cho nhân viên trong thời kỳ dịch bệnh hay không ?","Câu 22:	Xin Ông/bà vui lòng cho biết giới tính:","Câu 23:	Xin Ông/bà vui lòng cho biết độ tuổi:","Câu 24:	Xin Ông/bà vui lòng cho biết thâm niên công việc của Ông/bà tại cơ quan:","Câu 25:	Xin Ông/bà vui lòng cho biết lương chính của Ông/bà khoảng:"
"2021/11/25 11:29:25 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Thương hiệu công ty;Được đối xử công bằng","4","3","4","5","5","4","4","4","4","4","5","4","4","4","4","4","4","Có","Nữ","18-25 tuổi","Dưới 1 năm","Từ 5-10 triệu"
"2021/11/25 11:29:31 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Động viên trong công việc;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin","Chế độ phúc lợi tốt;Chính sách tăng lương;Thời gian làm việc phù hợp;Được đối xử công bằng","3","4","4","4","4","4","4","4","4","3","3","4","4","4","4","4","4","Có","Nam","18-25 tuổi","Dưới 1 năm","Dưới 5 triệu"
"2021/11/25 11:39:06 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Cấp trên tôn trọng và tin cậy;Tạo điều làm việc","Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp","4","3","3","3","3","3","3","3","3","3","4","4","4","4","3","4","4","Có","Nữ","18-25 tuổi","Dưới 1 năm","Từ 5-10 triệu"
"2021/11/25 11:39:35 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Động viên trong công việc;Tổ chức tiêm vắcxin;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Chính sách tăng lương;Thời gian làm việc phù hợp;Thương hiệu công ty;Được đối xử công bằng","5","4","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","Có","","18-25 tuổi","Dưới 1 năm","Dưới 5 triệu"
"2021/11/25 11:42:27 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Cấp trên tôn trọng và tin cậy;Động viên trong công việc;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp;Thương hiệu công ty;Được đối xử công bằng","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Có","Nữ","18-25 tuổi","1-3 năm","Từ 5-10 triệu"
"2021/11/25 11:48:03 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt","5","4","5","5","5","5","5","5","5","5","5","5","4","4","5","4","5","Có","Nữ","18-25 tuổi","1-3 năm","Từ 5-10 triệu"
"2021/11/25 11:51:28 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin","Tiền lương;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Chính sách thăng tiến rõ rang;Thương hiệu công ty","5","4","4","5","5","4","5","5","5","5","4","5","5","5","5","5","5","Có","Nam","18-25 tuổi","1-3 năm","Dưới 5 triệu"
"2021/11/25 11:51:59 SA GMT+7","Không (xin dừng trả lời các câu hỏi tiếp theo, cảm ơn Ông/bà đã hỗ trợ)","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/11/25 11:53:22 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Thời gian làm việc phù hợp","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Có","Nam","35-45 tuổi","1-3 năm","Từ 5-10 triệu"
"2021/11/25 11:53:59 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Động viên trong công việc;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin","Chế độ phúc lợi tốt;Chính sách tăng lương;Thời gian làm việc phù hợp;Được đối xử công bằng","3","4","5","4","4","5","4","4","3","4","3","4","4","4","4","4","4","Có","Nam","18-25 tuổi","Dưới 1 năm","Dưới 5 triệu"
"2021/11/25 11:54:10 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Động viên trong công việc;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin;Hỗ trợ cho gia đình","Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp","4","4","5","5","5","5","4","4","5","5","5","4","4","4","5","4","5","Có","Nữ","18-25 tuổi","1-3 năm","Từ 10-15 triệu"
"2021/11/25 12:00:41 CH GMT+7","Không (xin dừng trả lời các câu hỏi tiếp theo, cảm ơn Ông/bà đã hỗ trợ)","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/11/25 12:03:46 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Tạo điều làm việc;Hỗ trợ cho gia đình","Tiền lương;Chế độ bảo hiểm, xã hội tốt;Thời gian làm việc phù hợp;Được đối xử công bằng","3","3","3","4","5","5","4","3","4","4","4","3","3","3","3","4","4","Có","Nữ","25-35 tuổi","1-3 năm","Từ 10-15 triệu"
"2021/11/25 12:05:34 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Hỗ trợ nhu yếu phẩm;Hỗ trợ cho gia đình","Tiền lương;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Thời gian làm việc phù hợp","5","2","5","3","5","5","4","3","3","3","3","3","3","4","3","3","3","Có","Nam","25-35 tuổi","3-5 năm","Từ 5-10 triệu"
"2021/11/25 12:12:16 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt","Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Thời gian làm việc phù hợp;Thương hiệu công ty;Được đối xử công bằng","5","4","4","3","4","4","2","4","5","5","4","4","4","5","5","4","4","Có","Nam","25-35 tuổi","Dưới 1 năm","Từ 10-15 triệu"
"2021/11/25 12:12:39 CH GMT+7","Không (xin dừng trả lời các câu hỏi tiếp theo, cảm ơn Ông/bà đã hỗ trợ)","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/11/25 12:16:23 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Động viên trong công việc;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin","Tiền lương;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp","5","4","5","4","3","4","3","4","4","3","3","4","3","5","5","4","5","Có","Nam","18-25 tuổi","1-3 năm","Từ 5-10 triệu"
"2021/11/25 12:20:19 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Động viên trong công việc;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp;Thương hiệu công ty;Được đối xử công bằng","4","4","4","4","4","4","4","4","4","4","4","4","4","","4","4","4","Có","Nữ","18-25 tuổi","1-3 năm","Từ 5-10 triệu"
"2021/11/25 12:20:37 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Động viên trong công việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp","5","4","5","5","5","5","5","3","5","4","5","5","5","5","3","4","5","Có","Nữ","18-25 tuổi","Dưới 1 năm","Dưới 5 triệu"
"2021/11/25 12:25:57 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Thời gian làm việc phù hợp","4","4","5","5","5","4","5","3","3","4","5","5","2","3","3","3","4","Có","Nữ","35-45 tuổi","3-5 năm","Từ 5-10 triệu"
"2021/11/25 12:28:18 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Hỗ trợ cho gia đình","Thương hiệu công ty","3","3","3","3","4","2","4","3","2","4","5","3","2","3","4","3","3","Có","Nam","18-25 tuổi","Trên 5 năm","Từ 5-10 triệu"
"2021/11/25 12:29:10 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Cấp trên tôn trọng và tin cậy;Động viên trong công việc;Tạo điều làm việc;Tổ chức tiêm vắcxin","Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Thời gian làm việc phù hợp;Được đối xử công bằng","3","2","3","4","4","4","3","3","3","4","4","3","3","2","2","2","2","Có","Nữ","18-25 tuổi","1-3 năm","Từ 5-10 triệu"
"2021/11/25 12:30:17 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương","Tiền lương","3","3","3","5","5","5","5","5","5","5","5","5","4","3","5","5","5","Có","Nữ","25-35 tuổi","1-3 năm","Từ 5-10 triệu"
"2021/11/25 12:36:02 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Có","Nam","18-25 tuổi","1-3 năm","Từ 10-15 triệu"
"2021/11/25 12:49:19 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương","Tiền lương;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Thương hiệu công ty","4","3","4","4","5","3","4","4","3","3","4","3","3","3","3","3","3","Có","Nam","18-25 tuổi","1-3 năm","Dưới 5 triệu"
"2021/11/25 12:54:08 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin","Tiền lương","5","4","4","4","4","5","5","4","5","5","5","5","5","5","5","5","5","Có","Nữ","25-35 tuổi","3-5 năm","Từ 10-15 triệu"
"2021/11/25 1:31:46 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Động viên trong công việc;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp","4","5","4","5","5","4","4","5","5","4","5","4","4","4","4","3","3","Có","Nam","35-45 tuổi","Trên 5 năm","Trên 15 triệu"
"2021/11/25 1:43:36 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Đang","Chế độ phúc lợi tốt","3","4","3","4","4","4","4","4","3","3","3","3","3","4","3","2","2","Có","Nam","25-35 tuổi","1-3 năm","Từ 10-15 triệu"
"2021/11/25 1:50:32 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Động viên trong công việc;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp;Thương hiệu công ty;Được đối xử công bằng","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Có","Nam","18-25 tuổi","Dưới 1 năm","Dưới 5 triệu"
"2021/11/25 3:23:56 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương","Tiền lương","3","3","3","3","3","4","4","4","4","4","4","5","4","4","4","3","3","Có","Nam","18-25 tuổi","3-5 năm","Trên 15 triệu"
"2021/11/25 3:28:28 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Tạo điều làm việc","Tiền lương;Chế độ phúc lợi tốt;Thời gian làm việc phù hợp","4","4","4","4","4","5","4","5","4","4","4","4","4","4","4","4","4","Có","Nam","18-25 tuổi","1-3 năm","Từ 10-15 triệu"
"2021/11/25 8:01:04 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp;Thương hiệu công ty;Được đối xử công bằng","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Không","Nữ","18-25 tuổi","1-3 năm","Dưới 5 triệu"
"2021/11/25 8:19:43 CH GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Tổ chức tiêm vắcxin;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Được đối xử công bằng","3","5","3","5","5","5","5","4","5","5","4","2","4","4","4","4","4","Có","Nữ","18-25 tuổi","Dưới 1 năm","Từ 5-10 triệu"
"2021/11/26 12:33:20 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Có","Nam","18-25 tuổi","Dưới 1 năm","Từ 5-10 triệu"
"2021/11/26 12:34:08 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Hỗ trợ cho gia đình","Được đối xử công bằng","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Có","Nữ","18-25 tuổi","1-3 năm","Từ 5-10 triệu"
"2021/11/26 12:36:43 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt","Tiền lương;Chế độ phúc lợi tốt;Được đối xử công bằng","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Có","Nam","18-25 tuổi","1-3 năm","Từ 10-15 triệu"
"2021/11/26 12:54:20 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Động viên trong công việc;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm;Tổ chức tiêm vắcxin;Hỗ trợ cho gia đình","Tiền lương;Chế độ phúc lợi tốt;Chế độ bảo hiểm, xã hội tốt;Chính sách tăng lương;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp;Thương hiệu công ty;Được đối xử công bằng","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Có","Nam","18-25 tuổi","Dưới 1 năm","Dưới 5 triệu"
"2021/11/26 8:26:46 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Hỗ trợ cho gia đình","Được đối xử công bằng","4","1","5","5","5","5","4","3","3","3","5","5","3","3","3","3","3","Có","Nam","18-25 tuổi","Dưới 1 năm","Dưới 5 triệu"
"2021/11/26 9:00:49 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Hỗ trợ cho gia đình","Chế độ phúc lợi tốt;Chính sách tăng lương;Chính sách thăng tiến rõ rang;Thời gian làm việc phù hợp","3","3","3","4","5","5","5","5","5","5","5","5","5","5","5","5","5","Không","Nữ","18-25 tuổi","1-3 năm","Từ 5-10 triệu"
"2021/11/26 9:27:28 SA GMT+7","Có (tiếp tục với với các câu hỏi tiếp theo)","Tiền lương;Chế độ phúc lợi tốt;Cấp trên tôn trọng và tin cậy;Tạo điều làm việc;Hỗ trợ nhu yếu phẩm","Tiền lương;Chế độ phúc lợi tốt;Thương hiệu công ty","4","3","4","5","5","5","5","5","5","5","4","4","3","3","4","3","5","Có","Nam","18-25 tuổi","Dưới 1 năm","Từ 5-10 triệu"